Experiment;Normalized;Distance;K;Accuracy;Execution Time
features_46_36;0;manhattan;13;0.877;704.233430147171
features_46_36;1;euclidean;3;0.919;711.5424950122833
features_46_36;1;euclidean;4;0.903;719.0061340332031
features_46_36;1;euclidean;5;0.915;726.4672131538391
features_46_36;1;euclidean;6;0.908;733.9750189781189
features_46_36;1;euclidean;7;0.907;741.4283702373505
features_46_36;1;euclidean;8;0.893;748.9506630897522
features_46_36;1;euclidean;9;0.899;756.4330770969391
features_46_36;1;euclidean;10;0.889;763.936723947525
features_46_36;1;euclidean;11;0.89;771.41654920578
features_46_36;1;euclidean;12;0.879;778.960125207901
features_46_36;1;euclidean;13;0.877;786.464672088623
features_46_36;1;manhattan;3;0.919;793.7420740127563
features_46_36;1;manhattan;4;0.903;800.8581261634827
features_46_36;1;manhattan;5;0.915;807.9593050479889
features_46_36;1;manhattan;6;0.908;815.0957071781158
features_46_36;1;manhattan;7;0.907;822.2659070491791
features_46_36;1;manhattan;8;0.893;829.4247632026672
features_46_36;1;manhattan;9;0.899;836.5920250415802
features_46_36;1;manhattan;10;0.889;843.7899761199951
features_46_36;1;manhattan;11;0.89;851.0195660591125
features_46_36;1;manhattan;12;0.879;858.1797611713409
features_46_36;1;manhattan;13;0.877;865.3860900402069
features_81_99;0;euclidean;3;0.918;890.4323160648346
features_81_99;0;euclidean;4;0.904;926.6439590454102
features_81_99;0;euclidean;5;0.916;962.9295752048492
features_81_99;0;euclidean;6;0.902;997.8957331180573
features_81_99;0;euclidean;7;0.905;1032.4464299678802
features_81_99;0;euclidean;8;0.89;1066.6237649917603
features_81_99;0;euclidean;9;0.897;1101.1496200561523
features_81_99;0;euclidean;10;0.888;1135.5902690887451
features_81_99;0;euclidean;11;0.884;1170.1893692016602
features_81_99;0;euclidean;12;0.881;1204.574846982956
features_81_99;0;euclidean;13;0.883;1239.0011792182922
features_81_99;0;manhattan;3;0.918;1272.5836551189423
features_81_99;0;manhattan;4;0.904;1305.379613161087
features_81_99;0;manhattan;5;0.916;1337.9171252250671
features_81_99;0;manhattan;6;0.902;1370.4814820289612
features_81_99;0;manhattan;7;0.905;1406.080768108368
features_81_99;0;manhattan;8;0.89;1441.8763399124146
features_81_99;0;manhattan;9;0.897;1477.5601770877838
features_81_99;0;manhattan;10;0.888;1513.0415012836456
features_81_99;0;manhattan;11;0.884;1547.3572809696198
features_81_99;0;manhattan;12;0.881;1581.7600591182709
features_81_99;0;manhattan;13;0.883;1616.5258989334106
features_81_99;1;euclidean;3;0.918;1653.075849056244
features_81_99;1;euclidean;4;0.904;1690.0974690914154
features_81_99;1;euclidean;5;0.916;1727.3184871673584
features_81_99;1;euclidean;6;0.902;1763.861895084381
features_81_99;1;euclidean;7;0.905;1800.4916999340057
features_81_99;1;euclidean;8;0.89;1836.8958320617676
features_81_99;1;euclidean;9;0.897;1873.5027260780334
features_81_99;1;euclidean;10;0.888;1910.2018911838531
features_81_99;1;euclidean;11;0.884;1946.7010290622711
features_81_99;1;euclidean;12;0.881;1983.124804019928
features_81_99;1;euclidean;13;0.883;2019.511078119278
features_81_99;1;manhattan;3;0.918;2055.300122022629
features_81_99;1;manhattan;4;0.904;2090.2012960910797
features_81_99;1;manhattan;5;0.916;2124.8195703029633
features_81_99;1;manhattan;6;0.902;2159.6416730880737
features_81_99;1;manhattan;7;0.905;2194.951192140579
features_81_99;1;manhattan;8;0.89;2230.5231359004974
features_81_99;1;manhattan;9;0.897;2265.699546098709
features_81_99;1;manhattan;10;0.888;2301.3277640342712
features_81_99;1;manhattan;11;0.884;2336.561196088791
features_81_99;1;manhattan;12;0.881;2371.7879989147186
features_81_99;1;manhattan;13;0.883;2407.5603289604187
